iter	Passed	Remaining
616	1436	891
617	1438	889
618	1441	887
619	1443	884
620	1446	882
621	1448	880
622	1450	877
623	1452	875
624	1454	872
625	1457	870
626	1460	868
627	1462	866
628	1464	863
629	1466	861
630	1469	859
631	1471	856
632	1473	854
633	1476	852
634	1478	849
635	1480	847
636	1482	845
637	1485	842
638	1487	840
639	1489	838
640	1492	835
641	1494	833
642	1496	830
643	1498	828
644	1501	826
645	1503	824
646	1505	821
647	1508	819
648	1510	816
649	1512	814
650	1514	812
651	1517	809
652	1519	807
653	1521	805
654	1524	802
655	1526	800
656	1528	798
657	1531	795
658	1533	793
659	1535	791
660	1538	788
661	1540	786
662	1543	784
663	1545	781
664	1547	779
665	1549	777
666	1552	774
667	1554	772
668	1556	770
669	1559	767
670	1561	765
671	1564	763
672	1566	761
673	1568	758
674	1571	756
675	1573	754
676	1575	751
677	1577	749
678	1579	746
679	1582	744
680	1584	742
681	1586	739
682	1589	737
683	1591	735
684	1593	732
685	1596	730
686	1598	728
687	1600	725
688	1603	723
689	1605	721
690	1607	718
691	1609	716
692	1612	714
693	1614	711
694	1616	709
695	1619	707
696	1621	705
697	1624	702
698	1626	700
699	1628	698
700	1631	695
701	1633	693
702	1636	691
703	1638	689
704	1641	686
705	1643	684
706	1646	682
707	1648	680
708	1651	677
709	1653	675
710	1655	672
711	1658	670
712	1660	668
713	1663	666
714	1666	664
715	1668	661
716	1670	659
717	1673	657
718	1675	654
719	1678	652
720	1680	650
721	1683	648
722	1686	645
723	1688	643
724	1690	641
725	1693	639
726	1696	637
727	1699	634
728	1701	632
729	1704	630
730	1706	628
731	1709	625
732	1711	623
733	1714	621
734	1716	618
735	1719	616
736	1721	614
737	1724	612
738	1726	609
739	1729	607
740	1731	605
741	1733	602
742	1736	600
743	1739	598
744	1741	596
745	1743	593
746	1746	591
747	1748	589
748	1751	586
749	1753	584
750	1756	582
751	1758	579
752	1760	577
753	1762	575
754	1765	572
755	1767	570
756	1770	568
757	1772	565
758	1775	563
759	1777	561
760	1779	558
761	1782	556
762	1785	554
763	1787	552
764	1789	549
765	1792	547
766	1794	545
767	1796	542
768	1799	540
769	1801	538
770	1804	535
771	1806	533
772	1808	531
773	1811	528
774	1813	526
775	1816	524
776	1818	521
777	1820	519
778	1822	517
779	1824	514
780	1827	512
781	1829	510
782	1831	507
783	1834	505
784	1836	502
785	1838	500
786	1841	498
787	1843	495
788	1845	493
789	1847	491
790	1849	488
791	1852	486
792	1854	484
793	1858	482
794	1861	479
795	1863	477
796	1865	475
797	1867	472
798	1870	470
799	1872	468
800	1875	465
801	1877	463
802	1879	461
803	1881	458
804	1883	456
805	1886	454
806	1888	451
807	1891	449
808	1893	447
809	1895	444
810	1897	442
811	1899	439
812	1902	437
813	1904	435
814	1906	432
815	1908	430
816	1911	428
817	1913	425
818	1915	423
819	1917	420
820	1919	418
821	1922	416
822	1924	413
823	1926	411
824	1928	409
825	1930	406
826	1932	404
827	1935	402
828	1937	399
829	1939	397
830	1941	394
831	1944	392
832	1946	390
833	1948	387
834	1950	385
835	1952	383
836	1954	380
837	1956	378
838	1958	375
839	1961	373
840	1963	371
841	1965	368
842	1968	366
843	1970	364
844	1972	361
845	1975	359
846	1977	357
847	1979	354
848	1982	352
849	1984	350
850	1986	347
851	1988	345
852	1991	343
853	1993	340
854	1995	338
855	1997	336
856	1999	333
857	2001	331
858	2003	328
859	2006	326
860	2008	324
861	2011	321
862	2013	319
863	2015	317
864	2018	314
865	2020	312
866	2022	310
867	2025	307
868	2027	305
869	2029	303
870	2031	300
871	2034	298
872	2036	296
873	2039	294
874	2042	291
875	2044	289
876	2047	287
877	2049	284
878	2051	282
879	2053	280
880	2056	277
881	2058	275
882	2060	273
883	2062	270
884	2065	268
885	2067	266
886	2069	263
887	2072	261
888	2074	258
889	2076	256
890	2079	254
891	2081	251
892	2083	249
893	2086	247
894	2088	245
895	2090	242
896	2093	240
897	2095	237
898	2097	235
899	2099	233
900	2102	230
901	2104	228
902	2107	226
903	2109	223
904	2111	221
905	2113	219
906	2115	216
907	2117	214
908	2120	212
909	2122	209
910	2124	207
911	2126	205
912	2129	202
913	2131	200
914	2133	198
915	2136	195
916	2138	193
917	2140	191
918	2142	188
919	2144	186
920	2147	184
921	2149	181
922	2151	179
923	2154	177
924	2156	174
925	2158	172
926	2161	170
927	2163	167
928	2165	165
929	2168	163
930	2170	160
931	2173	158
932	2175	156
933	2177	153
934	2180	151
935	2182	149
936	2184	146
937	2186	144
938	2189	142
939	2191	139
940	2193	137
941	2196	135
942	2198	132
943	2201	130
944	2203	128
945	2205	125
946	2207	123
947	2210	121
948	2212	118
949	2214	116
950	2216	114
951	2219	111
952	2221	109
953	2223	107
954	2226	104
955	2228	102
956	2231	100
957	2233	97
958	2235	95
959	2237	93
960	2240	90
961	2242	88
962	2244	86
963	2246	83
964	2248	81
965	2250	79
966	2252	76
967	2255	74
968	2258	72
969	2260	69
970	2262	67
971	2264	65
972	2266	62
973	2269	60
974	2271	58
975	2273	55
976	2275	53
977	2278	51
978	2280	48
979	2282	46
980	2285	44
981	2287	41
982	2289	39
983	2291	37
984	2294	34
985	2296	32
986	2298	30
987	2300	27
988	2303	25
989	2305	23
990	2307	20
991	2309	18
992	2311	16
993	2314	13
994	2316	11
995	2319	9
996	2321	6
997	2323	4
998	2325	2
999	2327	0
