iter	Logloss
354	0.4609867004
355	0.4608181547
356	0.4606215937
357	0.4602179218
358	0.4600999113
359	0.459891624
360	0.4594162612
361	0.4592462515
362	0.4584577162
363	0.4580082279
364	0.4577137441
365	0.4574035821
366	0.4569112938
367	0.4566021066
368	0.4560593962
369	0.4555303785
370	0.4551324963
371	0.4546401572
372	0.4539938615
373	0.4538435366
374	0.4536533775
375	0.4534521944
376	0.4532855338
377	0.4528347223
378	0.4522533081
379	0.4516254647
380	0.4512488764
381	0.450971745
382	0.4504057602
383	0.4501456264
384	0.449565741
385	0.449338443
386	0.4487535182
387	0.4478674919
388	0.4473713944
389	0.4468593852
390	0.4462759819
391	0.4457708906
392	0.4453012137
393	0.4448624859
394	0.4441130562
395	0.4438117968
396	0.4435257834
397	0.4432775876
398	0.4427488908
399	0.442332243
400	0.4418838173
401	0.4413413863
402	0.4410074295
403	0.4404588555
404	0.4401207258
405	0.4398979256
406	0.4394026529
407	0.4389719943
408	0.4384405387
409	0.4378111629
410	0.4372825258
411	0.4365787567
412	0.436115724
413	0.4359078761
414	0.4357806816
415	0.435398429
416	0.4350069726
417	0.4346286873
418	0.4344595684
419	0.4342557277
420	0.4337987261
421	0.4334661296
422	0.4331634669
423	0.4330242861
424	0.4323681739
425	0.4318194846
426	0.4313975407
427	0.4307303484
428	0.4305987514
429	0.4302765732
430	0.4296964154
431	0.4292744623
432	0.4290702099
433	0.4287971362
434	0.4284122887
435	0.4280466687
436	0.4273699396
437	0.4270822122
438	0.4262183868
439	0.4259061153
440	0.425622414
441	0.4250190809
442	0.4245802093
443	0.4242652663
444	0.4235642696
445	0.423420714
446	0.423050726
447	0.4227195828
448	0.4223905874
449	0.4219510018
450	0.4215248263
451	0.4213052223
452	0.4206751332
453	0.420296293
454	0.4195868849
455	0.4189582174
456	0.4186865167
457	0.4179783469
458	0.4174169545
459	0.4171580705
460	0.4169239175
461	0.41630996
462	0.4159125317
463	0.4153989677
464	0.4148453163
465	0.4140149245
466	0.413291375
467	0.4127481458
468	0.412350767
469	0.4119948794
470	0.4117056395
471	0.4112243621
472	0.4105903197
473	0.4101220182
474	0.4097555845
475	0.4094181379
476	0.4090950318
477	0.4081248479
478	0.4076824517
479	0.4070804013
480	0.4067621349
481	0.4060845713
482	0.4052870441
483	0.4049788902
484	0.4044894064
485	0.4042028674
486	0.4035074752
487	0.4032159211
488	0.4026699233
489	0.4023491539
490	0.4016934277
491	0.401425668
492	0.401182285
493	0.4006207437
494	0.3999056175
495	0.3996799114
496	0.3991423462
497	0.3986742047
498	0.3983311796
499	0.3977144258
