iter	Logloss
0	0.692629495
1	0.6918718434
2	0.6910017398
3	0.6890503214
4	0.688159691
5	0.6873267119
6	0.6855898292
7	0.6845880952
8	0.6831668581
9	0.681455829
10	0.6805442533
11	0.6794121171
12	0.6786612339
13	0.6769966662
14	0.6758361851
15	0.6744963929
16	0.6732152386
17	0.6723106471
18	0.6717611387
19	0.6706797568
20	0.6698770004
21	0.6691354933
22	0.6687181482
23	0.6673786327
24	0.6667897025
25	0.6662650709
26	0.6656260482
27	0.6647851288
28	0.6641227307
29	0.6629759347
30	0.6619488313
31	0.6612217849
32	0.6599338789
33	0.6596860508
34	0.6590325356
35	0.6580161978
36	0.6574131512
37	0.6563787663
38	0.6554980572
39	0.6550725696
40	0.654201692
41	0.653135741
42	0.6526809025
43	0.6514625323
44	0.650228801
45	0.6494385872
46	0.6487928767
47	0.6483174643
48	0.6466646569
49	0.6459384547
50	0.6449077347
51	0.6440226932
52	0.6432505297
53	0.6426438661
54	0.6418065171
55	0.6405662239
56	0.63969266
57	0.6384276816
58	0.6375645473
59	0.636781773
60	0.6363094516
61	0.6351640267
62	0.635063696
63	0.6342337144
64	0.6333082958
65	0.6325518556
66	0.6320086934
67	0.6312177245
68	0.6306491065
69	0.6295325544
70	0.6285878897
71	0.6272899556
72	0.6263432654
73	0.6253204953
74	0.624305273
75	0.6231032746
76	0.6221030722
77	0.6204412577
78	0.6193429405
79	0.6180752492
80	0.6173201227
81	0.6168111975
82	0.616094047
83	0.6152433108
84	0.6142446093
85	0.6134758898
86	0.6127843065
87	0.6120878995
88	0.6117272955
89	0.611224398
90	0.6107112974
91	0.6100407575
92	0.6095022032
93	0.6084734738
94	0.6077693145
95	0.6072666193
96	0.6060274875
97	0.6053675646
98	0.6047848072
99	0.6035465051
100	0.6029667905
101	0.602045166
102	0.60133565
103	0.6006587785
104	0.6000480433
105	0.5997577121
106	0.5990743216
107	0.5985401884
108	0.5982548483
109	0.597732956
110	0.5967547673
111	0.5964948768
112	0.595670797
113	0.5947602158
114	0.5939497579
115	0.5939264438
116	0.5933870633
117	0.5924788699
118	0.5921651075
119	0.5913174564
120	0.5905036059
121	0.5899129292
122	0.5891623133
123	0.5884555168
124	0.5877526285
125	0.5865533842
126	0.5858361412
127	0.5849220415
128	0.5837029045
129	0.5830673596
130	0.5821565482
131	0.5817537138
132	0.5811492314
133	0.580439951
134	0.5798027707
135	0.5786846071
136	0.5781870474
137	0.577546057
138	0.5768818531
139	0.5762161108
140	0.5756662474
141	0.5753958995
142	0.5747589909
143	0.5742981941
144	0.5738864646
145	0.5732423325
146	0.5724264726
147	0.5716495491
148	0.5713383156
149	0.570911536
150	0.5703067528
151	0.5701021975
152	0.5694412573
153	0.5688941669
154	0.5678158032
155	0.5671743809
156	0.5664207721
157	0.5656268675
158	0.5647400632
159	0.564343951
160	0.5637878505
161	0.5628851834
162	0.5624728527
163	0.5616549925
164	0.5610625195
165	0.5608259102
166	0.5600533148
167	0.5596378668
168	0.5591831133
169	0.5587719874
170	0.5582222091
171	0.5578073454
172	0.5571584147
173	0.5563278983
174	0.5560227321
175	0.5554048555
176	0.5550640976
177	0.5545146788
178	0.5540052345
179	0.5534315169
180	0.552373479
181	0.5517644287
182	0.551290623
183	0.5501491205
184	0.5492785779
185	0.5487765167
186	0.5482534589
187	0.5477797358
188	0.5470266984
189	0.5464896842
190	0.5462360695
191	0.5457197692
192	0.5452163074
193	0.5446133666
194	0.5442024469
195	0.5438550771
196	0.5434960608
197	0.5427863825
198	0.5425857163
199	0.5420245269
200	0.5414812328
201	0.5412308887
202	0.5408714274
203	0.5402754168
204	0.5398700434
205	0.5392780809
206	0.5382324019
207	0.5373782697
208	0.5367719813
209	0.536048194
210	0.5355562331
211	0.5352971232
212	0.5347900862
213	0.5345087845
214	0.5338985866
215	0.5335393384
216	0.5327439329
217	0.5323692803
218	0.5318955978
219	0.5313567821
220	0.5310558954
221	0.529915467
222	0.5291579741
223	0.5285235516
224	0.5278375298
225	0.5274848837
226	0.5269551647
227	0.5263774088
228	0.5253776409
229	0.525186593
230	0.5249614205
231	0.5242397886
232	0.5235514318
233	0.5230991528
234	0.5223291583
235	0.5217161889
236	0.5211379708
237	0.5208827008
238	0.5207179255
239	0.52010088
240	0.519719032
241	0.5189558713
242	0.5181768356
243	0.5177238445
244	0.5175134168
245	0.5165355322
246	0.515682472
247	0.5151247153
248	0.5144512038
249	0.5142289093
250	0.5137765388
251	0.5133826789
252	0.512576985
253	0.5120292574
254	0.5116549718
255	0.5112855486
256	0.5108741009
257	0.510051683
258	0.5096056931
259	0.5087900051
260	0.5080619622
261	0.5077266588
262	0.5072324793
263	0.5068483262
264	0.5064374301
265	0.5063327197
266	0.50582847
267	0.505380696
268	0.5050702708
269	0.5043290944
270	0.503591594
271	0.5029271592
272	0.5025439671
273	0.5014736613
274	0.5007853126
275	0.4994925709
276	0.4989715236
277	0.4984570092
278	0.4982416397
279	0.497686093
280	0.4972327896
281	0.4969292926
282	0.4967233345
283	0.4957356701
284	0.4953002963
285	0.4948846967
286	0.4944594408
287	0.4939504904
288	0.4934525373
289	0.4929049964
290	0.4924692615
291	0.4922273282
292	0.4917984407
293	0.4911128185
294	0.4908685433
295	0.4903867081
296	0.4901582545
297	0.4899233443
298	0.4896304383
299	0.489358674
300	0.4886006284
301	0.4879128335
302	0.4871449857
303	0.4870017521
304	0.4860830137
305	0.4856795105
306	0.4855328351
307	0.4853737381
308	0.4849377067
309	0.4846440992
310	0.4840010125
311	0.483039856
312	0.4824590674
313	0.481939409
314	0.4808476516
315	0.4806054662
316	0.4802538535
317	0.479640777
318	0.4789361065
319	0.4782042765
320	0.478020849
321	0.4776624868
322	0.4773277109
323	0.4766620619
324	0.4762625323
325	0.4755944254
326	0.4746870521
327	0.4741069927
328	0.4737848919
329	0.4734682144
330	0.4733691658
331	0.4728403265
332	0.4723338028
333	0.471764538
334	0.4710586986
335	0.470534001
336	0.4703822442
337	0.4695807545
338	0.4688506035
339	0.4682781186
340	0.4675579909
341	0.4671221941
342	0.4664762121
343	0.4661868325
344	0.465550087
345	0.4651943664
346	0.4646691295
347	0.4639818517
348	0.4638434618
349	0.4630500247
350	0.4623464399
351	0.4618185177
352	0.4616353766
353	0.4611144691
